nr,datum,ort,liter,preis_pro_liter_nad,kilometerstand,betrag_eur,zahler,anmerkung,volltanken
1,2026-09-03,Rehoboth,TBD,TBD,TBD,73.42,Patrick,Entspricht Blatt 02 Nr. 7 (Agrimark) - Liter/Preis/km-Stand fehlen noch,TBD
2,2026-09-05,Keetmanshoop,TBD,TBD,TBD,98.15,Nora,Entspricht Blatt 02 Nr. 10 (Agra Keetmanshoop) - Liter/Preis/km-Stand fehlen noch,TBD
3,2026-09-06,Lüderitz,TBD,TBD,TBD,60.20,Nora,Entspricht Blatt 02 Nr. 17 (Lüderitz Fuel Center) - Liter/Preis/km-Stand fehlen noch - Volltanken von Patrick bestaetigt (06.09.),ja
4,2026-09-07,Helmeringhausen,34.29,28.58,21586,53.17,Nora,Entspricht Blatt 02 Nr. 23 - erster Fill-up mit bekanntem Kilometerstand,ja
5,2026-09-09,Sesriem,54.60,TBD,22085,83.94,Nora,Entspricht Blatt 02 Nr. 27 - erster Abschnitt mit zwei Volltanks und km-Staenden (Helmeringhausen 21586 -> Sesriem 22085 = 499 km); Volltanken von Patrick bestaetigt (09.09.),ja
6,2026-09-10,Solitaire,7.80,28.21,TBD,11.68,Nora,"Entspricht Blatt 02 Nr. 34 - 220 NAD bar (Nora); Preis/L aus 220/7,8 gerechnet; Kilometerstand nicht notiert, daher kein Verbrauchsabschnitt Sesriem -> Solitaire",ja
7,2026-09-11,Swakopmund,53.08,TBD,22581,79.97,Nora,Entspricht Blatt 02 Nr. 43,TBD
